Timer started ...
MOD: delay(30 30), type(tBUF), from(CE_RAM.OUT), to(CE_RAM.PAD)
CHK: delay(100 100), type(tSRW), from(TB_5us.AR ), to(TB_5us.AR )
CHK: delay(80 80), type(tSRR), from(TB_5us.AR ), to(TB_5us.C )
CHK: delay(50 50), type(tWLS), from(TB_5us.C ), to(TB_5us.C )
CHK: delay(50 50), type(tWHS), from(TB_5us.C ), to(TB_5us.C )
CHK: delay(0 0), type(tHS), from(TB_5us.D ), to(TB_5us.C )
CHK: delay(55 55), type(tSS), from(TB_5us.D ), to(TB_5us.C )
MOD: delay(110 110), type(tSRi), from(TB_10us.AR ), to(TB_10us.Q )
MOD: delay(30 30), type(tBUF), from(TB_10us.Q ), to(TB_10us.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_10us.C ), to(TB_10us.Q )
CHK: delay(100 100), type(tSRW), from(TB_10us.AR ), to(TB_10us.AR )
CHK: delay(80 80), type(tSRR), from(TB_10us.AR ), to(TB_10us.C )
CHK: delay(50 50), type(tWLS), from(TB_10us.C ), to(TB_10us.C )
CHK: delay(50 50), type(tWHS), from(TB_10us.C ), to(TB_10us.C )
CHK: delay(0 0), type(tHS), from(TB_10us.D ), to(TB_10us.C )
CHK: delay(55 55), type(tSS), from(TB_10us.D ), to(TB_10us.C )
MOD: delay(110 110), type(tSRi), from(TB_20us.AR ), to(TB_20us.Q )
MOD: delay(30 30), type(tBUF), from(TB_20us.Q ), to(TB_20us.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_20us.C ), to(TB_20us.Q )
CHK: delay(100 100), type(tSRW), from(TB_20us.AR ), to(TB_20us.AR )
CHK: delay(80 80), type(tSRR), from(TB_20us.AR ), to(TB_20us.C )
CHK: delay(50 50), type(tWLS), from(TB_20us.C ), to(TB_20us.C )
CHK: delay(50 50), type(tWHS), from(TB_20us.C ), to(TB_20us.C )
CHK: delay(0 0), type(tHS), from(TB_20us.D ), to(TB_20us.C )
CHK: delay(55 55), type(tSS), from(TB_20us.D ), to(TB_20us.C )
MOD: delay(110 110), type(tSRi), from(TB_50us.AR ), to(TB_50us.Q )
MOD: delay(30 30), type(tBUF), from(TB_50us.Q ), to(TB_50us.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_50us.C ), to(TB_50us.Q )
CHK: delay(100 100), type(tSRW), from(TB_50us.AR ), to(TB_50us.AR )
CHK: delay(80 80), type(tSRR), from(TB_50us.AR ), to(TB_50us.C )
CHK: delay(50 50), type(tWLS), from(TB_50us.C ), to(TB_50us.C )
CHK: delay(50 50), type(tWHS), from(TB_50us.C ), to(TB_50us.C )
CHK: delay(0 0), type(tHS), from(TB_50us.D ), to(TB_50us.C )
CHK: delay(55 55), type(tSS), from(TB_50us.D ), to(TB_50us.C )
MOD: delay(110 110), type(tSRi), from(TB_100us.AR ), to(TB_100us.Q )
MOD: delay(30 30), type(tBUF), from(TB_100us.Q ), to(TB_100us.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_100us.C ), to(TB_100us.Q )
CHK: delay(100 100), type(tSRW), from(TB_100us.AR ), to(TB_100us.AR )
CHK: delay(80 80), type(tSRR), from(TB_100us.AR ), to(TB_100us.C )
CHK: delay(50 50), type(tWLS), from(TB_100us.C ), to(TB_100us.C )
CHK: delay(50 50), type(tWHS), from(TB_100us.C ), to(TB_100us.C )
CHK: delay(0 0), type(tHS), from(TB_100us.D ), to(TB_100us.C )
CHK: delay(55 55), type(tSS), from(TB_100us.D ), to(TB_100us.C )
MOD: delay(110 110), type(tSRi), from(TB_200us.AR ), to(TB_200us.Q )
MOD: delay(30 30), type(tBUF), from(TB_200us.Q ), to(TB_200us.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_200us.C ), to(TB_200us.Q )
CHK: delay(100 100), type(tSRW), from(TB_200us.AR ), to(TB_200us.AR )
CHK: delay(80 80), type(tSRR), from(TB_200us.AR ), to(TB_200us.C )
CHK: delay(50 50), type(tWLS), from(TB_200us.C ), to(TB_200us.C )
CHK: delay(50 50), type(tWHS), from(TB_200us.C ), to(TB_200us.C )
CHK: delay(0 0), type(tHS), from(TB_200us.D ), to(TB_200us.C )
CHK: delay(55 55), type(tSS), from(TB_200us.D ), to(TB_200us.C )
MOD: delay(110 110), type(tSRi), from(TB_500us.AR ), to(TB_500us.Q )
MOD: delay(30 30), type(tBUF), from(TB_500us.Q ), to(TB_500us.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_500us.C ), to(TB_500us.Q )
CHK: delay(100 100), type(tSRW), from(TB_500us.AR ), to(TB_500us.AR )
CHK: delay(80 80), type(tSRR), from(TB_500us.AR ), to(TB_500us.C )
CHK: delay(50 50), type(tWLS), from(TB_500us.C ), to(TB_500us.C )
CHK: delay(50 50), type(tWHS), from(TB_500us.C ), to(TB_500us.C )
CHK: delay(0 0), type(tHS), from(TB_500us.D ), to(TB_500us.C )
CHK: delay(55 55), type(tSS), from(TB_500us.D ), to(TB_500us.C )
MOD: delay(110 110), type(tSRi), from(TB_1ms.AR ), to(TB_1ms.Q )
MOD: delay(30 30), type(tBUF), from(TB_1ms.Q ), to(TB_1ms.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_1ms.C ), to(TB_1ms.Q )
CHK: delay(100 100), type(tSRW), from(TB_1ms.AR ), to(TB_1ms.AR )
CHK: delay(80 80), type(tSRR), from(TB_1ms.AR ), to(TB_1ms.C )
CHK: delay(50 50), type(tWLS), from(TB_1ms.C ), to(TB_1ms.C )
CHK: delay(50 50), type(tWHS), from(TB_1ms.C ), to(TB_1ms.C )
CHK: delay(0 0), type(tHS), from(TB_1ms.D ), to(TB_1ms.C )
CHK: delay(55 55), type(tSS), from(TB_1ms.D ), to(TB_1ms.C )
MOD: delay(110 110), type(tSRi), from(TB_2ms.AR ), to(TB_2ms.Q )
MOD: delay(30 30), type(tBUF), from(TB_2ms.Q ), to(TB_2ms.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_2ms.C ), to(TB_2ms.Q )
CHK: delay(100 100), type(tSRW), from(TB_2ms.AR ), to(TB_2ms.AR )
CHK: delay(80 80), type(tSRR), from(TB_2ms.AR ), to(TB_2ms.C )
CHK: delay(50 50), type(tWLS), from(TB_2ms.C ), to(TB_2ms.C )
CHK: delay(50 50), type(tWHS), from(TB_2ms.C ), to(TB_2ms.C )
CHK: delay(0 0), type(tHS), from(TB_2ms.D ), to(TB_2ms.C )
CHK: delay(55 55), type(tSS), from(TB_2ms.D ), to(TB_2ms.C )
MOD: delay(110 110), type(tSRi), from(TB_5ms.AR ), to(TB_5ms.Q )
MOD: delay(30 30), type(tBUF), from(TB_5ms.Q ), to(TB_5ms.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_5ms.C ), to(TB_5ms.Q )
CHK: delay(100 100), type(tSRW), from(TB_5ms.AR ), to(TB_5ms.AR )
CHK: delay(80 80), type(tSRR), from(TB_5ms.AR ), to(TB_5ms.C )
CHK: delay(50 50), type(tWLS), from(TB_5ms.C ), to(TB_5ms.C )
CHK: delay(50 50), type(tWHS), from(TB_5ms.C ), to(TB_5ms.C )
CHK: delay(0 0), type(tHS), from(TB_5ms.D ), to(TB_5ms.C )
CHK: delay(55 55), type(tSS), from(TB_5ms.D ), to(TB_5ms.C )
MOD: delay(110 110), type(tSRi), from(TB_10ms.AR ), to(TB_10ms.Q )
MOD: delay(30 30), type(tBUF), from(TB_10ms.Q ), to(TB_10ms.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_10ms.C ), to(TB_10ms.Q )
CHK: delay(100 100), type(tSRW), from(TB_10ms.AR ), to(TB_10ms.AR )
CHK: delay(80 80), type(tSRR), from(TB_10ms.AR ), to(TB_10ms.C )
CHK: delay(50 50), type(tWLS), from(TB_10ms.C ), to(TB_10ms.C )
CHK: delay(50 50), type(tWHS), from(TB_10ms.C ), to(TB_10ms.C )
CHK: delay(0 0), type(tHS), from(TB_10ms.D ), to(TB_10ms.C )
CHK: delay(55 55), type(tSS), from(TB_10ms.D ), to(TB_10ms.C )
MOD: delay(110 110), type(tSRi), from(TB_20ms.AR ), to(TB_20ms.Q )
MOD: delay(30 30), type(tBUF), from(TB_20ms.Q ), to(TB_20ms.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_20ms.C ), to(TB_20ms.Q )
CHK: delay(100 100), type(tSRW), from(TB_20ms.AR ), to(TB_20ms.AR )
CHK: delay(80 80), type(tSRR), from(TB_20ms.AR ), to(TB_20ms.C )
CHK: delay(50 50), type(tWLS), from(TB_20ms.C ), to(TB_20ms.C )
CHK: delay(50 50), type(tWHS), from(TB_20ms.C ), to(TB_20ms.C )
CHK: delay(0 0), type(tHS), from(TB_20ms.D ), to(TB_20ms.C )
CHK: delay(55 55), type(tSS), from(TB_20ms.D ), to(TB_20ms.C )
MOD: delay(110 110), type(tSRi), from(TB_50ms.AR ), to(TB_50ms.Q )
MOD: delay(30 30), type(tBUF), from(TB_50ms.Q ), to(TB_50ms.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_50ms.C ), to(TB_50ms.Q )
CHK: delay(100 100), type(tSRW), from(TB_50ms.AR ), to(TB_50ms.AR )
CHK: delay(80 80), type(tSRR), from(TB_50ms.AR ), to(TB_50ms.C )
CHK: delay(50 50), type(tWLS), from(TB_50ms.C ), to(TB_50ms.C )
CHK: delay(50 50), type(tWHS), from(TB_50ms.C ), to(TB_50ms.C )
CHK: delay(0 0), type(tHS), from(TB_50ms.D ), to(TB_50ms.C )
CHK: delay(55 55), type(tSS), from(TB_50ms.D ), to(TB_50ms.C )
MOD: delay(110 110), type(tSRi), from(A00.AR ), to(A00.Q )
MOD: delay(30 30), type(tBUF), from(A00.Q ), to(A00.PAD)
MOD: delay(80 80), type(tCOAi), from(A00.C ), to(A00.Q )
CHK: delay(100 100), type(tSRW), from(A00.AR ), to(A00.AR )
CHK: delay(80 80), type(tSRR), from(A00.AR ), to(A00.C )
CHK: delay(50 50), type(tWLA), from(A00.C ), to(A00.C )
CHK: delay(50 50), type(tWHA), from(A00.C ), to(A00.C )
CHK: delay(40 40), type(tHA), from(A00.D ), to(A00.C )
CHK: delay(40 40), type(tSA), from(A00.D ), to(A00.C )
MOD: delay(110 110), type(tSRi), from(A01.AR ), to(A01.Q )
MOD: delay(30 30), type(tBUF), from(A01.Q ), to(A01.PAD)
MOD: delay(80 80), type(tCOAi), from(A01.C ), to(A01.Q )
CHK: delay(100 100), type(tSRW), from(A01.AR ), to(A01.AR )
CHK: delay(80 80), type(tSRR), from(A01.AR ), to(A01.C )
CHK: delay(50 50), type(tWLA), from(A01.C ), to(A01.C )
CHK: delay(50 50), type(tWHA), from(A01.C ), to(A01.C )
CHK: delay(40 40), type(tHA), from(A01.D ), to(A01.C )
CHK: delay(40 40), type(tSA), from(A01.D ), to(A01.C )
MOD: delay(110 110), type(tSRi), from(A02.AR ), to(A02.Q )
MOD: delay(30 30), type(tBUF), from(A02.Q ), to(A02.PAD)
MOD: delay(80 80), type(tCOAi), from(A02.C ), to(A02.Q )
CHK: delay(100 100), type(tSRW), from(A02.AR ), to(A02.AR )
CHK: delay(80 80), type(tSRR), from(A02.AR ), to(A02.C )
CHK: delay(50 50), type(tWLA), from(A02.C ), to(A02.C )
CHK: delay(50 50), type(tWHA), from(A02.C ), to(A02.C )
CHK: delay(40 40), type(tHA), from(A02.D ), to(A02.C )
CHK: delay(40 40), type(tSA), from(A02.D ), to(A02.C )
MOD: delay(110 110), type(tSRi), from(A03.AR ), to(A03.Q )
MOD: delay(30 30), type(tBUF), from(A03.Q ), to(A03.PAD)
MOD: delay(80 80), type(tCOAi), from(A03.C ), to(A03.Q )
CHK: delay(100 100), type(tSRW), from(A03.AR ), to(A03.AR )
CHK: delay(80 80), type(tSRR), from(A03.AR ), to(A03.C )
CHK: delay(50 50), type(tWLA), from(A03.C ), to(A03.C )
CHK: delay(50 50), type(tWHA), from(A03.C ), to(A03.C )
CHK: delay(40 40), type(tHA), from(A03.D ), to(A03.C )
CHK: delay(40 40), type(tSA), from(A03.D ), to(A03.C )
MOD: delay(110 110), type(tSRi), from(A04.AR ), to(A04.Q )
MOD: delay(30 30), type(tBUF), from(A04.Q ), to(A04.PAD)
MOD: delay(80 80), type(tCOAi), from(A04.C ), to(A04.Q )
CHK: delay(100 100), type(tSRW), from(A04.AR ), to(A04.AR )
CHK: delay(80 80), type(tSRR), from(A04.AR ), to(A04.C )
CHK: delay(50 50), type(tWLA), from(A04.C ), to(A04.C )
CHK: delay(50 50), type(tWHA), from(A04.C ), to(A04.C )
CHK: delay(40 40), type(tHA), from(A04.D ), to(A04.C )
CHK: delay(40 40), type(tSA), from(A04.D ), to(A04.C )
MOD: delay(110 110), type(tSRi), from(A05.AR ), to(A05.Q )
MOD: delay(30 30), type(tBUF), from(A05.Q ), to(A05.PAD)
MOD: delay(80 80), type(tCOAi), from(A05.C ), to(A05.Q )
CHK: delay(100 100), type(tSRW), from(A05.AR ), to(A05.AR )
CHK: delay(80 80), type(tSRR), from(A05.AR ), to(A05.C )
CHK: delay(50 50), type(tWLA), from(A05.C ), to(A05.C )
CHK: delay(50 50), type(tWHA), from(A05.C ), to(A05.C )
CHK: delay(40 40), type(tHA), from(A05.D ), to(A05.C )
CHK: delay(40 40), type(tSA), from(A05.D ), to(A05.C )
MOD: delay(110 110), type(tSRi), from(A06.AR ), to(A06.Q )
MOD: delay(30 30), type(tBUF), from(A06.Q ), to(A06.PAD)
MOD: delay(80 80), type(tCOAi), from(A06.C ), to(A06.Q )
CHK: delay(100 100), type(tSRW), from(A06.AR ), to(A06.AR )
CHK: delay(80 80), type(tSRR), from(A06.AR ), to(A06.C )
CHK: delay(50 50), type(tWLA), from(A06.C ), to(A06.C )
CHK: delay(50 50), type(tWHA), from(A06.C ), to(A06.C )
CHK: delay(40 40), type(tHA), from(A06.D ), to(A06.C )
CHK: delay(40 40), type(tSA), from(A06.D ), to(A06.C )
MOD: delay(110 110), type(tSRi), from(A07.AR ), to(A07.Q )
MOD: delay(30 30), type(tBUF), from(A07.Q ), to(A07.PAD)
MOD: delay(80 80), type(tCOAi), from(A07.C ), to(A07.Q )
CHK: delay(100 100), type(tSRW), from(A07.AR ), to(A07.AR )
CHK: delay(80 80), type(tSRR), from(A07.AR ), to(A07.C )
CHK: delay(50 50), type(tWLA), from(A07.C ), to(A07.C )
CHK: delay(50 50), type(tWHA), from(A07.C ), to(A07.C )
CHK: delay(40 40), type(tHA), from(A07.D ), to(A07.C )
CHK: delay(40 40), type(tSA), from(A07.D ), to(A07.C )
MOD: delay(110 110), type(tSRi), from(A08.AR ), to(A08.Q )
MOD: delay(30 30), type(tBUF), from(A08.Q ), to(A08.PAD)
MOD: delay(80 80), type(tCOAi), from(A08.C ), to(A08.Q )
CHK: delay(100 100), type(tSRW), from(A08.AR ), to(A08.AR )
CHK: delay(80 80), type(tSRR), from(A08.AR ), to(A08.C )
CHK: delay(50 50), type(tWLA), from(A08.C ), to(A08.C )
CHK: delay(50 50), type(tWHA), from(A08.C ), to(A08.C )
CHK: delay(40 40), type(tHA), from(A08.D ), to(A08.C )
CHK: delay(40 40), type(tSA), from(A08.D ), to(A08.C )
MOD: delay(110 110), type(tSRi), from(A09.AR ), to(A09.Q )
MOD: delay(30 30), type(tBUF), from(A09.Q ), to(A09.PAD)
MOD: delay(80 80), type(tCOAi), from(A09.C ), to(A09.Q )
CHK: delay(100 100), type(tSRW), from(A09.AR ), to(A09.AR )
CHK: delay(80 80), type(tSRR), from(A09.AR ), to(A09.C )
CHK: delay(50 50), type(tWLA), from(A09.C ), to(A09.C )
CHK: delay(50 50), type(tWHA), from(A09.C ), to(A09.C )
CHK: delay(40 40), type(tHA), from(A09.D ), to(A09.C )
CHK: delay(40 40), type(tSA), from(A09.D ), to(A09.C )
MOD: delay(110 110), type(tSRi), from(A10.AR ), to(A10.Q )
MOD: delay(30 30), type(tBUF), from(A10.Q ), to(A10.PAD)
MOD: delay(80 80), type(tCOAi), from(A10.C ), to(A10.Q )
CHK: delay(100 100), type(tSRW), from(A10.AR ), to(A10.AR )
CHK: delay(80 80), type(tSRR), from(A10.AR ), to(A10.C )
CHK: delay(50 50), type(tWLA), from(A10.C ), to(A10.C )
CHK: delay(50 50), type(tWHA), from(A10.C ), to(A10.C )
CHK: delay(40 40), type(tHA), from(A10.D ), to(A10.C )
CHK: delay(40 40), type(tSA), from(A10.D ), to(A10.C )
MOD: delay(110 110), type(tSRi), from(A11.AR ), to(A11.Q )
MOD: delay(30 30), type(tBUF), from(A11.Q ), to(A11.PAD)
MOD: delay(80 80), type(tCOAi), from(A11.C ), to(A11.Q )
CHK: delay(100 100), type(tSRW), from(A11.AR ), to(A11.AR )
CHK: delay(80 80), type(tSRR), from(A11.AR ), to(A11.C )
CHK: delay(50 50), type(tWLA), from(A11.C ), to(A11.C )
CHK: delay(50 50), type(tWHA), from(A11.C ), to(A11.C )
CHK: delay(40 40), type(tHA), from(A11.D ), to(A11.C )
CHK: delay(40 40), type(tSA), from(A11.D ), to(A11.C )
MOD: delay(110 110), type(tSRi), from(N_57.AR ), to(N_57.Q )
MOD: delay(30 30), type(tCOSi), from(N_57.C ), to(N_57.Q )
CHK: delay(100 100), type(tSRW), from(N_57.AR ), to(N_57.AR )
CHK: delay(80 80), type(tSRR), from(N_57.AR ), to(N_57.C )
CHK: delay(50 50), type(tWLS), from(N_57.C ), to(N_57.C )
CHK: delay(50 50), type(tWHS), from(N_57.C ), to(N_57.C )
CHK: delay(0 0), type(tHS), from(N_57.D ), to(N_57.C )
CHK: delay(55 55), type(tSS), from(N_57.D ), to(N_57.C )
MOD: delay(110 110), type(tSRi), from(N_49.AR ), to(N_49.Q )
MOD: delay(80 80), type(tCOAi), from(N_49.C ), to(N_49.Q )
CHK: delay(100 100), type(tSRW), from(N_49.AR ), to(N_49.AR )
CHK: delay(80 80), type(tSRR), from(N_49.AR ), to(N_49.C )
CHK: delay(50 50), type(tWLA), from(N_49.C ), to(N_49.C )
CHK: delay(50 50), type(tWHA), from(N_49.C ), to(N_49.C )
CHK: delay(40 40), type(tHA), from(N_49.D ), to(N_49.C )
CHK: delay(40 40), type(tSA), from(N_49.D ), to(N_49.C )
MOD: delay(110 110), type(tSRi), from(D0_OUTPUT_QC.AR ), to(D0_OUTPUT_QC.Q )
MOD: delay(30 30), type(tCOSi), from(D0_OUTPUT_QC.C ), to(D0_OUTPUT_QC.Q )
CHK: delay(100 100), type(tSRW), from(D0_OUTPUT_QC.AR ), to(D0_OUTPUT_QC.AR )
CHK: delay(80 80), type(tSRR), from(D0_OUTPUT_QC.AR ), to(D0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWLS), from(D0_OUTPUT_QC.C ), to(D0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWHS), from(D0_OUTPUT_QC.C ), to(D0_OUTPUT_QC.C )
CHK: delay(0 0), type(tHS), from(D0_OUTPUT_QC.D ), to(D0_OUTPUT_QC.C )
CHK: delay(55 55), type(tSS), from(D0_OUTPUT_QC.D ), to(D0_OUTPUT_QC.C )
MOD: delay(110 110), type(tSRi), from(E0_OUTPUT_QC.AR ), to(E0_OUTPUT_QC.Q )
MOD: delay(30 30), type(tCOSi), from(E0_OUTPUT_QC.C ), to(E0_OUTPUT_QC.Q )
CHK: delay(100 100), type(tSRW), from(E0_OUTPUT_QC.AR ), to(E0_OUTPUT_QC.AR )
CHK: delay(80 80), type(tSRR), from(E0_OUTPUT_QC.AR ), to(E0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWLS), from(E0_OUTPUT_QC.C ), to(E0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWHS), from(E0_OUTPUT_QC.C ), to(E0_OUTPUT_QC.C )
CHK: delay(0 0), type(tHS), from(E0_OUTPUT_QC.D ), to(E0_OUTPUT_QC.C )
CHK: delay(55 55), type(tSS), from(E0_OUTPUT_QC.D ), to(E0_OUTPUT_QC.C )
MOD: delay(110 110), type(tSRi), from(F0_OUTPUT_QC.AR ), to(F0_OUTPUT_QC.Q )
MOD: delay(30 30), type(tCOSi), from(F0_OUTPUT_QC.C ), to(F0_OUTPUT_QC.Q )
CHK: delay(100 100), type(tSRW), from(F0_OUTPUT_QC.AR ), to(F0_OUTPUT_QC.AR )
CHK: delay(80 80), type(tSRR), from(F0_OUTPUT_QC.AR ), to(F0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWLS), from(F0_OUTPUT_QC.C ), to(F0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWHS), from(F0_OUTPUT_QC.C ), to(F0_OUTPUT_QC.C )
CHK: delay(0 0), type(tHS), from(F0_OUTPUT_QC.D ), to(F0_OUTPUT_QC.C )
CHK: delay(55 55), type(tSS), from(F0_OUTPUT_QC.D ), to(F0_OUTPUT_QC.C )
MOD: delay(110 110), type(tSRi), from(G0_OUTPUT_QC.AR ), to(G0_OUTPUT_QC.Q )
MOD: delay(30 30), type(tCOSi), from(G0_OUTPUT_QC.C ), to(G0_OUTPUT_QC.Q )
CHK: delay(100 100), type(tSRW), from(G0_OUTPUT_QC.AR ), to(G0_OUTPUT_QC.AR )
CHK: delay(80 80), type(tSRR), from(G0_OUTPUT_QC.AR ), to(G0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWLS), from(G0_OUTPUT_QC.C ), to(G0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWHS), from(G0_OUTPUT_QC.C ), to(G0_OUTPUT_QC.C )
CHK: delay(0 0), type(tHS), from(G0_OUTPUT_QC.D ), to(G0_OUTPUT_QC.C )
CHK: delay(55 55), type(tSS), from(G0_OUTPUT_QC.D ), to(G0_OUTPUT_QC.C )
MOD: delay(110 110), type(tSRi), from(H0_OUTPUT_QC.AR ), to(H0_OUTPUT_QC.Q )
MOD: delay(30 30), type(tCOSi), from(H0_OUTPUT_QC.C ), to(H0_OUTPUT_QC.Q )
CHK: delay(100 100), type(tSRW), from(H0_OUTPUT_QC.AR ), to(H0_OUTPUT_QC.AR )
CHK: delay(80 80), type(tSRR), from(H0_OUTPUT_QC.AR ), to(H0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWLS), from(H0_OUTPUT_QC.C ), to(H0_OUTPUT_QC.C )
CHK: delay(50 50), type(tWHS), from(H0_OUTPUT_QC.C ), to(H0_OUTPUT_QC.C )
CHK: delay(0 0), type(tHS), from(H0_OUTPUT_QC.D ), to(H0_OUTPUT_QC.C )
CHK: delay(55 55), type(tSS), from(H0_OUTPUT_QC.D ), to(H0_OUTPUT_QC.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(H0_OUTPUT_QC.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(G0_OUTPUT_QC.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(F0_OUTPUT_QC.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(E0_OUTPUT_QC.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(D0_OUTPUT_QC.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_50ms.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_20ms.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_10ms.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_5ms.C )
